"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13031","1","522","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.40,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","522","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.51,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","5222","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.41,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","5222","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.53,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","52229","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",10.41,3.03,2.98,3.02,2.43,0.00,0.00,0.81,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","52229","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",10.53,3.01,3.04,3.14,2.37,0.00,0.00,0.78,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","522298","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,30843,0,0,791,"",22.27,7.88,7.67,7.74,4.93,0.00,0.00,0.63,"",0,0.0,0,0.0,1,50.0,1,50.0,-24844,-44.6,0,0.0,0,0.0,-1045,-56.9
"13031","1","522298","78","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,32016,0,0,821,"",22.65,7.69,7.69,7.96,4.71,0.00,0.00,0.61,"",0,0.0,1,50.0,1,50.0,1,50.0,6339,24.7,0,0.0,0,0.0,-167,-16.9
"13031","1","92","74","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,44,49,44,731117,0,0,1232,"",1.68,0.17,0.18,0.16,0.21,0.00,0.00,1.25,"",0,0.0,-2,-4.3,6,14.0,2,4.8,-60862,-7.7,0,0.0,0,0.0,-163,-11.7
"13031","1","92","74","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,48,44,43,750200,0,0,1282,"",1.68,0.18,0.16,0.17,0.20,0.00,0.00,1.17,"",0,0.0,6,14.3,2,4.8,-4,-8.5,61545,8.9,0,0.0,0,0.0,69,5.7
"13031","1","922","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,92813,0,0,2380,"",2.00,0.07,0.06,0.07,0.14,0.00,0.00,2.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-13985,-13.1,0,0.0,0,0.0,-358,-13.1
"13031","1","922","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,97595,0,0,2502,"",2.00,0.07,0.07,0.07,0.14,0.00,0.00,2.11,"",0,0.0,0,0.0,0,0.0,0,0.0,5622,6.1,0,0.0,0,0.0,144,6.1
"13031","1","9221","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,92813,0,0,2380,"",2.00,0.07,0.06,0.07,0.14,0.00,0.00,2.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-13985,-13.1,0,0.0,0,0.0,-358,-13.1
"13031","1","9221","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,97595,0,0,2502,"",2.00,0.07,0.07,0.07,0.14,0.00,0.00,2.11,"",0,0.0,0,0.0,0,0.0,0,0.0,5622,6.1,0,0.0,0,0.0,144,6.1
"13031","1","92212","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,92813,0,0,2380,"",3.88,0.12,0.12,0.12,0.24,0.00,0.00,2.05,"",0,0.0,0,0.0,0,0.0,0,0.0,-13985,-13.1,0,0.0,0,0.0,-358,-13.1
"13031","1","92212","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,97595,0,0,2502,"",3.88,0.12,0.12,0.12,0.24,0.00,0.00,2.01,"",0,0.0,0,0.0,0,0.0,0,0.0,5622,6.1,0,0.0,0,0.0,144,6.1
"13031","1","922120","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,92813,0,0,2380,"",3.88,0.12,0.12,0.12,0.24,0.00,0.00,2.05,"",0,0.0,0,0.0,0,0.0,0,0.0,-13985,-13.1,0,0.0,0,0.0,-358,-13.1
"13031","1","922120","78","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,97595,0,0,2502,"",3.88,0.12,0.12,0.12,0.24,0.00,0.00,2.01,"",0,0.0,0,0.0,0,0.0,0,0.0,5622,6.1,0,0.0,0,0.0,144,6.1
"13031","1","923","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,16,16,286211,0,0,1376,"",2.65,0.48,0.47,0.47,0.66,0.00,0.00,1.40,"",0,0.0,1,6.7,1,6.7,1,6.7,-10277,-3.5,0,0.0,0,0.0,-144,-9.5
"13031","1","923","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,16,16,295425,0,0,1420,"",2.65,0.47,0.47,0.49,0.57,0.00,0.00,1.20,"",0,0.0,1,6.7,1,6.7,1,6.7,28806,10.8,0,0.0,0,0.0,53,3.9
"13031","1","9231","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,16,16,286211,0,0,1376,"",2.65,0.48,0.47,0.47,0.66,0.00,0.00,1.40,"",0,0.0,1,6.7,1,6.7,1,6.7,-10277,-3.5,0,0.0,0,0.0,-144,-9.5
"13031","1","9231","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,16,16,295425,0,0,1420,"",2.65,0.47,0.47,0.49,0.57,0.00,0.00,1.20,"",0,0.0,1,6.7,1,6.7,1,6.7,28806,10.8,0,0.0,0,0.0,53,3.9
"13031","1","92313","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,16,16,286211,0,0,1376,"",4.42,1.29,1.27,1.28,1.91,0.00,0.00,1.50,"",0,0.0,1,6.7,1,6.7,1,6.7,-10277,-3.5,0,0.0,0,0.0,-144,-9.5
"13031","1","92313","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,16,16,295425,0,0,1420,"",4.43,1.28,1.29,1.35,1.88,0.00,0.00,1.44,"",0,0.0,1,6.7,1,6.7,1,6.7,28806,10.8,0,0.0,0,0.0,53,3.9
"13031","1","923130","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,16,16,286211,0,0,1376,"",4.42,1.29,1.27,1.28,1.91,0.00,0.00,1.50,"",0,0.0,1,6.7,1,6.7,1,6.7,-10277,-3.5,0,0.0,0,0.0,-144,-9.5
